time, ACC_X, ACC_Y, ACC_Z, B_X, B_Y, B_Z, EULER_X, EULER_Y, EULER_Z, GYRO_X, GYRO_Y, GYRO_Z
'2021-05-09 23:59:52 240',0.288,0.984,-0.17,-0.433,-0.053,-0.104,99.76,16.2,164.86,0.058,-0.007,0.106
'2021-05-09 23:59:52 208',0.288,0.984,-0.169,-0.44,-0.049,-0.109,99.69,16.35,164.81,0.082,-0.041,0.068
'2021-05-09 23:59:52 147',0.284,0.982,-0.172,-0.445,-0.05,-0.106,99.69,15.91,164.84,0.052,0.148,0.07
'2021-05-09 23:59:52 090',0.287,0.983,-0.171,-0.437,-0.055,-0.107,99.78,16.1,164.8,0.143,0.061,0.088
'2021-05-09 23:59:52 053',0.286,0.98,-0.173,-0.436,-0.053,-0.103,99.68,15.79,164.77,0.037,0.108,0.011
'2021-05-09 23:59:51 997',0.286,0.981,-0.173,-0.44,-0.053,-0.106,99.75,15.81,164.96,0.023,-0.014,0.062
'2021-05-09 23:59:51 968',0.29,0.981,-0.171,-0.436,-0.05,-0.099,99.67,15.92,164.72,0.079,0.101,-0.018
'2021-05-09 23:59:51 903',0.289,0.981,-0.172,-0.445,-0.053,-0.107,99.7,15.79,164.75,0.03,0.001,-0.055
'2021-05-09 23:59:51 840',0.291,0.983,-0.17,-0.44,-0.05,-0.107,99.66,16.1,164.67,0.041,-0.003,-0.123
'2021-05-09 23:59:51 818',0.289,0.983,-0.171,-0.438,-0.052,-0.098,99.67,15.91,164.73,0.096,0.107,-0.067
'2021-05-09 23:59:51 803',0.292,0.984,-0.168,-0.437,-0.048,-0.11,99.93,16.41,164.54,0.153,0.009,0.061
'2021-05-09 23:59:51 800',0.291,0.981,-0.168,-0.442,-0.049,-0.109,99.73,16.55,164.55,0.101,0.046,0.069
'2021-05-09 23:59:51 798',0.291,0.983,-0.168,-0.442,-0.042,-0.104,99.74,16.51,164.68,0.08,0,0.03
'2021-05-09 23:59:51 795',0.288,0.984,-0.169,-0.442,-0.055,-0.11,99.58,16.39,164.45,0.065,-0.074,0.121
'2021-05-09 23:59:51 690',0.291,0.984,-0.169,-0.442,-0.05,-0.104,99.71,16.27,164.66,-0.06,0.015,-0.064
'2021-05-09 23:59:51 653',0.292,0.984,-0.167,-0.435,-0.049,-0.109,99.88,16.37,164.55,0.23,-0.109,-0.089
'2021-05-09 23:59:51 650',0.29,0.982,-0.167,-0.442,-0.052,-0.109,99.72,16.51,164.57,0.104,0.1,0.046
'2021-05-09 23:59:51 648',0.29,0.982,-0.169,-0.439,-0.05,-0.102,99.72,16.52,164.57,0.158,0.012,0.043
'2021-05-09 23:59:51 645',0.288,0.982,-0.169,-0.439,-0.049,-0.106,99.55,16.32,164.32,0.101,0.007,0.084
'2021-05-09 23:59:51 353',0.286,0.983,-0.17,-0.439,-0.05,-0.102,99.46,16.26,164.25,0.009,0.146,0.041
'2021-05-09 23:59:51 229',0.282,0.981,-0.171,-0.44,-0.052,-0.101,99.85,16.07,164.86,0.089,0.076,0.124
'2021-05-09 23:59:51 203',0.286,0.983,-0.17,-0.436,-0.053,-0.106,99.53,16.22,164.29,-0.023,0.174,0.068
'2021-05-09 23:59:51 135',0.285,0.983,-0.171,-0.443,-0.047,-0.102,99.91,15.75,164.98,0.08,0.026,-0.066
'2021-05-09 23:59:51 079',0.282,0.98,-0.171,-0.442,-0.053,-0.112,99.83,15.94,164.84,0.091,0.01,0.113
'2021-05-09 23:59:51 021',0.288,0.983,-0.17,-0.442,-0.049,-0.106,99.74,16.05,164.81,0.087,0.002,-0.115
'2021-05-09 23:59:50 985',0.285,0.983,-0.171,-0.446,-0.052,-0.101,99.91,15.82,164.95,0.149,0.036,-0.131
'2021-05-09 23:59:50 924',0.29,0.983,-0.169,-0.442,-0.052,-0.109,99.67,16.53,164.63,0.106,-0.065,0.035
'2021-05-09 23:59:50 871',0.287,0.983,-0.172,-0.447,-0.055,-0.106,99.73,16.21,164.79,0.052,0.025,-0.12
'2021-05-09 23:59:50 828',0.292,0.981,-0.168,-0.437,-0.049,-0.11,99.47,16.61,164.32,0.116,-0.021,0.099
'2021-05-09 23:59:50 774',0.291,0.986,-0.168,-0.439,-0.052,-0.104,99.61,16.56,164.53,0.122,-0.09,0.011
'2021-05-09 23:59:50 718',0.289,0.982,-0.169,-0.44,-0.052,-0.106,99.25,16.45,164.23,0.068,0.087,0.125
'2021-05-09 23:59:50 678',0.29,0.982,-0.167,-0.439,-0.05,-0.109,99.29,16.53,164.22,0.068,0.072,0.033
'2021-05-09 23:59:50 620',0.288,0.983,-0.169,-0.436,-0.048,-0.109,99.24,16.22,164.21,0.025,0.133,0.006
'2021-05-09 23:59:50 568',0.288,0.982,-0.169,-0.443,-0.05,-0.107,99.22,16.32,164.21,0.066,0.066,0.102
'2021-05-09 23:59:50 513',0.287,0.982,-0.169,-0.437,-0.048,-0.114,99.36,16.31,164.49,0.142,0.18,0.039
'2021-05-09 23:59:50 470',0.287,0.983,-0.169,-0.436,-0.043,-0.109,99.31,16.22,164.32,0.067,0.157,0.024
'2021-05-09 23:59:50 424',0.285,0.979,-0.17,-0.446,-0.052,-0.104,99.37,16.27,165.07,0.061,0.163,0.039
'2021-05-09 23:59:50 363',0.285,0.98,-0.169,-0.436,-0.049,-0.114,99.34,16.29,164.74,0.084,0.099,0.047
'2021-05-09 23:59:50 308',0.288,0.982,-0.17,-0.44,-0.053,-0.102,99.39,16.07,165.1,0.049,0.04,0.01
'2021-05-09 23:59:50 274',0.285,0.979,-0.171,-0.44,-0.052,-0.102,99.4,16.24,165.21,0.059,-0.027,0.135
'2021-05-09 23:59:50 215',0.29,0.983,-0.17,-0.44,-0.052,-0.112,99.32,16.2,164.97,0.08,-0.108,-0.045
'2021-05-09 23:59:50 158',0.287,0.982,-0.171,-0.44,-0.053,-0.101,99.39,16.06,165.09,0.044,0.028,-0.08
'2021-05-09 23:59:50 111',0.293,0.982,-0.169,-0.439,-0.049,-0.109,99.56,16.26,164.83,0.114,-0.105,0.073
'2021-05-09 23:59:50 065',0.292,0.983,-0.17,-0.44,-0.053,-0.107,99.27,16.32,164.89,-0.014,-0.009,0.021
'2021-05-09 23:59:49 999',0.293,0.984,-0.166,-0.437,-0.053,-0.114,99.46,16.18,164.66,0.095,-0.034,0.019
'2021-05-09 23:59:49 961',0.293,0.983,-0.167,-0.437,-0.049,-0.11,99.47,16.2,164.68,0.041,-0.108,0.06
'2021-05-09 23:59:49 902',0.29,0.983,-0.168,-0.44,-0.052,-0.114,99.5,16.1,164.76,0,0.021,0.012
'2021-05-09 23:59:49 849',0.291,0.982,-0.167,-0.44,-0.049,-0.115,99.45,16.18,164.68,0.051,0.005,0.039
'2021-05-09 23:59:49 792',0.289,0.983,-0.168,-0.439,-0.055,-0.093,99.6,16.37,164.67,0.145,0.088,-0.019
'2021-05-09 23:59:49 752',0.29,0.982,-0.168,-0.442,-0.05,-0.104,99.62,16.1,164.86,0.06,0.005,-0.046
'2021-05-09 23:59:49 689',0.288,0.982,-0.169,-0.44,-0.049,-0.107,99.42,16.45,164.53,0.027,0.036,0.022
'2021-05-09 23:59:49 642',0.288,0.982,-0.168,-0.442,-0.052,-0.106,99.48,16.41,164.59,0.103,0.042,-0.017
'2021-05-09 23:59:49 605',0.285,0.98,-0.17,-0.439,-0.055,-0.104,99.59,16.54,164.6,0.147,0.046,0.137
'2021-05-09 23:59:49 539',0.288,0.982,-0.17,-0.437,-0.047,-0.107,99.46,16.47,164.51,-0.052,0.092,-0.022
'2021-05-09 23:59:49 481',0.285,0.98,-0.171,-0.437,-0.053,-0.106,99.39,16.12,164.63,0.102,0.06,0.124
'2021-05-09 23:59:49 455',0.284,0.98,-0.171,-0.443,-0.053,-0.102,99.48,16.44,164.56,0.063,0.097,0.172
'2021-05-09 23:59:49 382',0.292,0.984,-0.169,-0.436,-0.05,-0.107,99.46,16.04,164.56,0.047,-0.028,-0.029
'2021-05-09 23:59:49 331',0.289,0.983,-0.171,-0.436,-0.05,-0.11,99.35,15.99,164.5,0.024,0.02,0.046
'2021-05-09 23:59:49 292',0.293,0.984,-0.168,-0.443,-0.058,-0.106,99.62,16.29,164.58,0.086,-0.063,-0.064
'2021-05-09 23:59:49 232',0.29,0.983,-0.169,-0.44,-0.048,-0.112,99.46,16.07,164.49,-0.047,0.059,-0.018
'2021-05-09 23:59:49 171',0.293,0.985,-0.164,-0.437,-0.049,-0.112,99.37,16.58,164.26,0.125,0.011,-0.099
'2021-05-09 23:59:49 142',0.293,0.986,-0.167,-0.445,-0.053,-0.109,99.58,16.39,164.46,0.1,-0.11,-0.028
'2021-05-09 23:59:49 072',0.293,0.981,-0.165,-0.444,-0.051,-0.112,99.24,16.79,164.42,0.105,0.091,0.049
'2021-05-09 23:59:49 021',0.293,0.981,-0.164,-0.435,-0.048,-0.11,99.33,16.75,164.29,0.143,0.051,0.001
'2021-05-09 23:59:48 978',0.293,0.981,-0.167,-0.442,-0.045,-0.107,99.29,16.65,164.76,-0.024,0.055,0.072
'2021-05-09 23:59:48 922',0.292,0.981,-0.166,-0.44,-0.05,-0.11,99.22,16.77,164.51,0.13,0.072,0.088
'2021-05-09 23:59:48 880',0.291,0.983,-0.167,-0.437,-0.045,-0.112,99.32,16.35,164.63,0.064,0.023,0.096
'2021-05-09 23:59:48 828',0.292,0.981,-0.166,-0.443,-0.049,-0.101,99.4,16.61,164.77,0.096,0.007,0.096
'2021-05-09 23:59:48 761',0.289,0.982,-0.167,-0.444,-0.052,-0.112,99.35,16.14,164.58,0.072,-0.112,0.041
'2021-05-09 23:59:48 730',0.291,0.981,-0.167,-0.436,-0.05,-0.107,99.33,16.27,164.65,0.066,0.085,0.087
'2021-05-09 23:59:48 652',0.287,0.982,-0.17,-0.447,-0.046,-0.11,99.36,16.34,164.83,0.013,0.043,-0.063
'2021-05-09 23:59:48 611',0.289,0.982,-0.168,-0.446,-0.052,-0.11,99.29,16.13,164.42,-0.001,-0.018,-0.002
'2021-05-09 23:59:48 568',0.287,0.981,-0.17,-0.442,-0.053,-0.11,99.53,16.51,165.07,0.078,0.117,0.019
'2021-05-09 23:59:48 566',0.287,0.978,-0.172,-0.439,-0.055,-0.102,99.72,16.41,165.5,0.074,-0.076,0.059
'2021-05-09 23:59:48 563',0.289,0.982,-0.17,-0.437,-0.05,-0.106,99.84,16.27,165.29,0.166,-0.003,0.041
'2021-05-09 23:59:48 502',0.288,0.982,-0.17,-0.447,-0.048,-0.115,99.43,16.47,164.88,0.025,0.048,-0.015
'2021-05-09 23:59:48 418',0.287,0.98,-0.171,-0.443,-0.05,-0.109,99.58,16.54,165.28,0.022,0.053,0.117
'2021-05-09 23:59:48 416',0.289,0.98,-0.171,-0.439,-0.053,-0.104,99.68,16.42,165.39,-0.014,-0.048,0.09
'2021-05-09 23:59:48 413',0.29,0.982,-0.17,-0.436,-0.044,-0.106,99.74,16.26,165.29,0.101,-0.087,0.008
'2021-05-09 23:59:48 261',0.292,0.982,-0.168,-0.443,-0.049,-0.106,99.68,16.45,164.96,0.03,-0.08,0.023
'2021-05-09 23:59:48 142',0.294,0.983,-0.164,-0.44,-0.048,-0.114,99.53,16.54,164.46,0.221,-0.063,-0.017
'2021-05-09 23:59:48 111',0.293,0.981,-0.167,-0.445,-0.043,-0.105,99.7,16.47,164.81,0.083,-0.152,0.027
'2021-05-09 23:59:48 050',0.295,0.981,-0.164,-0.442,-0.053,-0.106,99.12,16.8,164.07,0.022,0.096,-0.047
'2021-05-09 23:59:47 992',0.295,0.982,-0.163,-0.442,-0.051,-0.115,99.35,16.62,164.4,0.167,-0.135,-0.055
'2021-05-09 23:59:47 960',0.294,0.981,-0.164,-0.443,-0.05,-0.109,99.33,16.9,164.27,0.03,0.086,0.058
'2021-05-09 23:59:47 900',0.295,0.981,-0.164,-0.44,-0.05,-0.106,99.17,16.88,164.09,0.004,0.045,-0.043
'2021-05-09 23:59:47 839',0.294,0.981,-0.163,-0.447,-0.047,-0.107,99.38,16.79,164.23,0.119,0.01,0.075
'2021-05-09 23:59:47 810',0.294,0.981,-0.163,-0.44,-0.046,-0.112,99.4,16.88,164.31,0.065,-0.072,0.046
'2021-05-09 23:59:47 750',0.294,0.981,-0.164,-0.439,-0.048,-0.114,99.37,16.72,164.25,0.133,-0.021,0.13
'2021-05-09 23:59:47 689',0.294,0.981,-0.164,-0.447,-0.048,-0.112,99.3,16.75,164.11,0.075,0.064,0.02
'2021-05-09 23:59:47 638',0.291,0.982,-0.165,-0.44,-0.053,-0.101,99.37,16.47,164.45,0.142,0.018,0.082
'2021-05-09 23:59:47 600',0.292,0.982,-0.164,-0.443,-0.051,-0.117,99.28,16.62,164.2,0.097,0.092,0.141
'2021-05-09 23:59:47 548',0.291,0.982,-0.165,-0.442,-0.056,-0.107,99.16,16.31,164.12,0.144,0.091,0.009
'2021-05-09 23:59:47 488',0.291,0.983,-0.165,-0.436,-0.053,-0.107,99.09,16.32,164.13,0.04,0.092,0.073
'2021-05-09 23:59:47 463',0.29,0.982,-0.165,-0.435,-0.052,-0.112,99.14,16.27,164.4,0.012,0.141,-0.06
'2021-05-09 23:59:47 426',0.289,0.982,-0.166,-0.442,-0.056,-0.109,99.31,16.59,164.65,0.039,0.066,0.036
'2021-05-09 23:59:47 423',0.287,0.983,-0.166,-0.439,-0.055,-0.102,99.32,16.5,164.83,0.028,0.044,0.023
'2021-05-09 23:59:47 398',0.291,0.982,-0.164,-0.44,-0.048,-0.114,99.06,16.3,164.15,0.136,0.048,0.023
'2021-05-09 23:59:47 313',0.289,0.982,-0.165,-0.439,-0.055,-0.111,99.27,16.35,164.62,0.061,-0.002,-0.054
'2021-05-09 23:59:47 276',0.288,0.982,-0.166,-0.442,-0.058,-0.115,99.37,16.6,164.72,0.147,0.052,0.04
'2021-05-09 23:59:47 273',0.287,0.982,-0.166,-0.44,-0.055,-0.114,99.36,16.53,164.82,0.102,0.084,0.042
'2021-05-09 23:59:47 125',0.286,0.982,-0.167,-0.437,-0.053,-0.107,99.39,16.52,165,0.04,-0.041,0.052
'2021-05-09 23:59:47 024',0.28,0.98,-0.169,-0.44,-0.048,-0.11,99.46,16.33,165.19,0.059,0.178,0.216
'2021-05-09 23:59:46 975',0.285,0.982,-0.168,-0.437,-0.052,-0.111,99.41,16.55,164.96,0.076,0.013,0.104
'2021-05-09 23:59:46 927',0.284,0.98,-0.17,-0.44,-0.053,-0.096,99.51,15.91,165.37,0.036,-0.082,0.147
'2021-05-09 23:59:46 874',0.283,0.981,-0.169,-0.44,-0.053,-0.102,99.55,16.12,165.43,0.075,0.052,0.118
'2021-05-09 23:59:46 809',0.289,0.982,-0.169,-0.439,-0.049,-0.106,99.57,15.78,165,-0.017,0.094,-0.039
'2021-05-09 23:59:46 777',0.285,0.982,-0.17,-0.437,-0.053,-0.102,99.47,15.76,165.12,0.022,0.002,0.065
'2021-05-09 23:59:46 719',0.292,0.982,-0.168,-0.445,-0.052,-0.104,99.76,15.93,165.12,0.066,-0.032,-0.043
'2021-05-09 23:59:46 659',0.288,0.982,-0.169,-0.439,-0.052,-0.109,99.73,15.8,165.12,0.057,-0.005,-0.014
'2021-05-09 23:59:46 642',0.291,0.985,-0.168,-0.44,-0.046,-0.101,99.75,16.22,164.84,0.132,-0.063,-0.098
'2021-05-09 23:59:46 639',0.29,0.983,-0.167,-0.443,-0.047,-0.106,99.52,16.44,164.45,0.041,0.033,0.053
'2021-05-09 23:59:46 637',0.289,0.983,-0.167,-0.442,-0.049,-0.104,99.73,16.39,164.78,0.05,-0.066,0.005
'2021-05-09 23:59:46 634',0.287,0.983,-0.169,-0.44,-0.052,-0.107,99.61,16.32,164.53,0.094,0.097,0.119
'2021-05-09 23:59:46 569',0.292,0.984,-0.168,-0.445,-0.052,-0.107,99.77,15.97,165.06,0.053,-0.109,-0.055
'2021-05-09 23:59:46 492',0.289,0.986,-0.167,-0.436,-0.042,-0.104,99.64,16.37,164.66,0.201,-0.089,-0.081
'2021-05-09 23:59:46 489',0.29,0.982,-0.167,-0.439,-0.045,-0.112,99.54,16.4,164.38,0.047,0.162,-0.025
'2021-05-09 23:59:46 487',0.289,0.982,-0.168,-0.442,-0.05,-0.102,99.74,16.44,164.62,0.171,0.139,0.059
'2021-05-09 23:59:46 484',0.289,0.983,-0.168,-0.44,-0.049,-0.104,99.61,16.2,164.59,0.073,0.054,0.06
'2021-05-09 23:59:46 228',0.288,0.983,-0.169,-0.436,-0.052,-0.107,99.54,16.1,164.46,0.092,0.013,0.013
'2021-05-09 23:59:46 107',0.284,0.982,-0.17,-0.447,-0.045,-0.11,99.63,16.36,164.55,0.115,0.03,0.102
'2021-05-09 23:59:46 078',0.287,0.982,-0.169,-0.437,-0.053,-0.109,99.51,16.1,164.43,0.03,0.038,-0.041
'2021-05-09 23:59:45 988',0.282,0.98,-0.172,-0.443,-0.053,-0.102,99.58,16.09,164.73,0.054,0.223,0.098
'2021-05-09 23:59:45 957',0.282,0.982,-0.171,-0.442,-0.049,-0.107,99.57,16.3,164.52,0.071,0.07,0.093
'2021-05-09 23:59:45 912',0.286,0.983,-0.173,-0.439,-0.053,-0.101,99.59,16.01,164.78,0.015,0.025,-0.009
'2021-05-09 23:59:45 838',0.284,0.981,-0.172,-0.433,-0.047,-0.104,99.64,15.97,164.9,0.046,0.017,0.023
'2021-05-09 23:59:45 813',0.288,0.985,-0.17,-0.442,-0.05,-0.106,99.62,16.04,164.73,0.029,0.098,-0.008
'2021-05-09 23:59:45 762',0.286,0.983,-0.172,-0.443,-0.052,-0.102,99.62,16.04,164.71,0.102,0.057,-0.021
'2021-05-09 23:59:45 687',0.29,0.986,-0.168,-0.443,-0.046,-0.114,99.55,16.26,164.41,0.081,-0.042,0.064
'2021-05-09 23:59:45 663',0.289,0.984,-0.17,-0.436,-0.05,-0.107,99.7,16.04,164.81,0.056,-0.036,-0.077
'2021-05-09 23:59:45 598',0.288,0.983,-0.167,-0.435,-0.049,-0.11,99.51,16.16,164.41,0.043,-0.006,0.022
'2021-05-09 23:59:45 537',0.291,0.987,-0.168,-0.444,-0.042,-0.112,99.53,16.22,164.34,0.086,0.088,0.084
'2021-05-09 23:59:45 502',0.288,0.983,-0.166,-0.44,-0.045,-0.112,99.49,16.13,164.33,0.041,0,-0.063
'2021-05-09 23:59:45 448',0.289,0.983,-0.166,-0.442,-0.053,-0.112,99.55,16.16,164.4,0.109,-0.025,0.016
'2021-05-09 23:59:45 378',0.286,0.983,-0.166,-0.439,-0.047,-0.106,99.58,16.29,164.37,0.054,0.078,0.074
'2021-05-09 23:59:45 352',0.287,0.983,-0.166,-0.442,-0.045,-0.11,99.54,16.24,164.32,0.025,0.026,-0.02
'2021-05-09 23:59:45 275',0.282,0.982,-0.168,-0.439,-0.048,-0.112,99.7,16.18,164.56,0.098,0.097,0.099
'2021-05-09 23:59:45 237',0.285,0.982,-0.169,-0.436,-0.046,-0.102,99.75,15.94,164.78,0.113,-0.002,0.06
'2021-05-09 23:59:45 234',0.286,0.984,-0.168,-0.439,-0.045,-0.107,99.83,15.78,164.86,0.158,-0.105,-0.001
'2021-05-09 23:59:45 230',0.287,0.987,-0.166,-0.437,-0.053,-0.106,99.66,15.83,164.41,0.133,-0.053,0.041
'2021-05-09 23:59:45 228',0.284,0.984,-0.168,-0.437,-0.047,-0.107,99.62,16.23,164.36,0.069,0.064,0.025
'2021-05-09 23:59:45 125',0.282,0.98,-0.169,-0.442,-0.05,-0.107,99.77,16.04,164.81,0.121,0.054,0.044
'2021-05-09 23:59:45 087',0.283,0.983,-0.169,-0.435,-0.044,-0.106,99.68,15.89,164.68,0.01,0.147,0.04
'2021-05-09 23:59:45 084',0.287,0.986,-0.167,-0.435,-0.049,-0.109,99.71,15.8,164.69,0.137,-0.179,-0.003
'2021-05-09 23:59:45 080',0.287,0.988,-0.164,-0.44,-0.052,-0.102,99.57,15.79,164.27,0.123,-0.122,-0.006
'2021-05-09 23:59:44 869',0.288,0.983,-0.164,-0.437,-0.052,-0.109,99.45,15.88,163.85,0.111,0.092,-0.009
'2021-05-09 23:59:44 774',0.286,0.984,-0.165,-0.434,-0.051,-0.119,99.45,15.9,164.01,0.042,0.002,-0.102
'2021-05-09 23:59:44 719',0.286,0.984,-0.165,-0.439,-0.053,-0.111,99.43,15.86,163.89,0.079,0.082,0.003
'2021-05-09 23:59:44 660',0.283,0.984,-0.166,-0.435,-0.048,-0.109,99.35,16.17,164.17,0.087,0.09,-0.036
'2021-05-09 23:59:44 624',0.286,0.984,-0.166,-0.44,-0.049,-0.11,99.54,16.05,164.11,0.137,0.07,-0.054
'2021-05-09 23:59:44 553',0.281,0.982,-0.167,-0.435,-0.05,-0.106,99.24,16.36,164.56,0.053,0.101,0.127
'2021-05-09 23:59:44 510',0.284,0.984,-0.166,-0.442,-0.049,-0.109,99.34,16.25,164.24,0.17,0.113,-0.078
'2021-05-09 23:59:44 479',0.279,0.98,-0.168,-0.439,-0.053,-0.101,99.31,16.05,164.88,0.018,0.133,0.177
'2021-05-09 23:59:44 403',0.28,0.982,-0.168,-0.439,-0.049,-0.106,99.26,16.27,164.61,0.033,0.175,0.112
'2021-05-09 23:59:44 369',0.285,0.983,-0.167,-0.436,-0.053,-0.103,99.56,15.75,165.05,0.086,-0.089,0.002
'2021-05-09 23:59:44 329',0.28,0.98,-0.168,-0.44,-0.05,-0.107,99.37,15.85,164.92,0.02,0.042,0.085
'2021-05-09 23:59:44 251',0.289,0.985,-0.167,-0.443,-0.048,-0.109,99.61,15.66,164.97,0.045,-0.173,-0.055
'2021-05-09 23:59:44 219',0.287,0.984,-0.167,-0.439,-0.049,-0.104,99.5,15.77,164.89,0.036,-0.034,0.07
'2021-05-09 23:59:44 160',0.288,0.985,-0.165,-0.436,-0.043,-0.109,99.58,15.95,164.65,0.184,-0.064,-0.155
'2021-05-09 23:59:44 101',0.289,0.985,-0.165,-0.433,-0.051,-0.114,99.6,15.74,164.76,0.01,0,-0.014
'2021-05-09 23:59:44 069',0.29,0.984,-0.163,-0.437,-0.053,-0.109,99.27,16.41,164.29,0.034,0.067,0.059
'2021-05-09 23:59:44 010',0.289,0.987,-0.164,-0.437,-0.045,-0.107,99.45,16.16,164.58,0.149,-0.117,-0.062
'2021-05-09 23:59:43 974',0.288,0.983,-0.162,-0.44,-0.046,-0.112,99.26,16.42,164.54,0.042,0.016,0.052
'2021-05-09 23:59:43 919',0.289,0.984,-0.163,-0.442,-0.051,-0.114,99.34,16.36,164.34,0.099,0.069,-0.008
'2021-05-09 23:59:43 824',0.288,0.983,-0.162,-0.439,-0.052,-0.109,99.28,16.43,164.52,0.083,0.015,0.064
'2021-05-09 23:59:33 909',0.285,0.985,-0.162,-0.437,-0.049,-0.107,98.79,16.33,164.25,0.036,0.115,0.166
'2021-05-09 23:59:33 822',0.285,0.982,-0.161,-0.437,-0.056,-0.114,98.89,15.71,164.53,0.085,0.017,0.037
'2021-05-09 23:59:33 759',0.284,0.985,-0.162,-0.432,-0.049,-0.107,98.81,16.16,164.28,0.037,0.098,0.178
'2021-05-09 23:59:33 701',0.287,0.986,-0.16,-0.44,-0.042,-0.11,98.84,15.67,164.45,0.061,0.065,-0.039
'2021-05-09 23:59:33 672',0.285,0.984,-0.161,-0.442,-0.056,-0.107,98.88,15.66,164.59,0.042,0.018,0.071
