time, ACC_X, ACC_Y, ACC_Z, B_X, B_Y, B_Z, EULER_X, EULER_Y, EULER_Z, GYRO_X, GYRO_Y, GYRO_Z
'2021-05-09 23:59:53 891',0.288,0.983,-0.168,-0.436,-0.052,-0.12,99.31,16.33,164.03,-0.064,0.093,0.019
'2021-05-09 23:59:53 786',0.286,0.984,-0.17,-0.442,-0.049,-0.102,99.59,16.45,164.61,0.12,0.1,0.004
'2021-05-09 23:59:53 741',0.287,0.983,-0.169,-0.446,-0.058,-0.109,99.6,16.42,164.34,0.116,0.117,0.024
'2021-05-09 23:59:53 690',0.284,0.984,-0.171,-0.447,-0.051,-0.112,99.6,16.38,164.72,0.012,0.098,0.103
'2021-05-09 23:59:53 636',0.286,0.984,-0.17,-0.443,-0.047,-0.101,99.53,16.49,164.62,0.121,0.11,0.04
'2021-05-09 23:59:53 589',0.285,0.981,-0.172,-0.437,-0.052,-0.115,99.71,16.15,164.99,0.156,-0.044,0.067
'2021-05-09 23:59:53 540',0.283,0.982,-0.172,-0.437,-0.053,-0.111,99.71,16.31,164.84,0.105,0.158,0.121
'2021-05-09 23:59:53 482',0.291,0.984,-0.17,-0.443,-0.056,-0.109,99.69,15.99,164.96,0.108,-0.093,0.041
'2021-05-09 23:59:53 439',0.283,0.982,-0.172,-0.437,-0.049,-0.106,99.63,16.13,165.03,0.009,0.008,0.066
'2021-05-09 23:59:53 380',0.293,0.983,-0.169,-0.439,-0.055,-0.107,99.58,16.03,164.59,0.138,-0.02,-0.095
'2021-05-09 23:59:53 332',0.291,0.983,-0.17,-0.446,-0.052,-0.109,99.63,15.96,164.86,0.051,-0.082,0
'2021-05-09 23:59:53 286',0.293,0.984,-0.168,-0.435,-0.046,-0.104,99.48,16.23,164.55,0.088,-0.002,-0.02
'2021-05-09 23:59:53 230',0.293,0.983,-0.169,-0.432,-0.055,-0.103,99.49,16.14,164.56,0.069,-0.019,-0.024
'2021-05-09 23:59:53 182',0.293,0.98,-0.167,-0.443,-0.047,-0.107,99.44,16.56,164.64,0.059,0.103,-0.057
'2021-05-09 23:59:53 136',0.293,0.984,-0.167,-0.443,-0.049,-0.11,99.43,16.27,164.47,0.188,0.097,-0.051
'2021-05-09 23:59:53 084',0.292,0.982,-0.166,-0.443,-0.052,-0.107,99.57,16.61,164.85,0.059,0.129,-0.004
'2021-05-09 23:59:53 032',0.292,0.981,-0.166,-0.44,-0.045,-0.114,99.49,16.65,164.74,0.111,0.009,0.003
'2021-05-09 23:59:52 970',0.291,0.982,-0.166,-0.442,-0.044,-0.104,99.35,16.58,164.71,0.08,-0.021,0.081
'2021-05-09 23:59:52 934',0.292,0.982,-0.166,-0.439,-0.047,-0.104,99.66,16.65,165.01,0.181,-0.067,0.069
'2021-05-09 23:59:52 877',0.289,0.982,-0.167,-0.442,-0.043,-0.112,99.27,16.34,164.33,0.073,0.144,0.117
'2021-05-09 23:59:52 820',0.292,0.981,-0.167,-0.444,-0.052,-0.109,99.32,16.5,164.47,0.066,0.024,0.054
'2021-05-09 23:59:52 762',0.291,0.983,-0.166,-0.437,-0.046,-0.109,99.41,16.16,164.51,0.037,0.089,-0.004
'2021-05-09 23:59:52 727',0.291,0.982,-0.167,-0.444,-0.046,-0.109,99.29,16.21,164.45,0.001,0.04,0.075
'2021-05-09 23:59:52 665',0.29,0.982,-0.166,-0.43,-0.055,-0.107,99.62,16.15,164.63,0.025,0.025,0.013
'2021-05-09 23:59:52 662',0.289,0.982,-0.168,-0.433,-0.05,-0.107,99.68,16.22,164.63,0.11,0.076,-0.045
'2021-05-09 23:59:52 659',0.288,0.981,-0.169,-0.437,-0.05,-0.106,99.69,16.36,164.6,0.13,0.043,0.028
'2021-05-09 23:59:52 612',0.29,0.982,-0.166,-0.44,-0.049,-0.104,99.48,16.16,164.59,0.084,0.08,0.023
'2021-05-09 23:59:52 515',0.289,0.982,-0.168,-0.435,-0.05,-0.106,99.72,16.15,164.68,0.104,0.022,0.011
'2021-05-09 23:59:52 512',0.289,0.982,-0.167,-0.439,-0.053,-0.107,99.69,16.3,164.73,0.111,-0.009,0.002
'2021-05-09 23:59:52 509',0.288,0.982,-0.168,-0.44,-0.048,-0.112,99.63,16.36,164.6,0.122,-0.023,-0.014
'2021-05-09 23:59:52 358',0.288,0.983,-0.168,-0.439,-0.049,-0.11,99.66,16.34,164.8,0.069,0,0.035
